DATE,DOY,YEAR,QUAG,PLRA
2020-10-11,285,2020,0.5933632,0.6003039
2020-10-13,287,2020,0.5415177,0.5747142
2020-10-14,288,2020,0.5777166,0.5696332
2020-10-16,290,2020,0.546551,0.5816135
2020-10-29,303,2020,0.5493775,0.5719568
2020-11-13,318,2020,0.4894227,0.5182088
2020-11-21,326,2020,0.5175069,0.528891
2020-11-22,327,2020,0.5262632,0.5757771
2020-11-25,330,2020,0.5375433,0.5278931
2020-11-26,331,2020,0.5054283,0.5296247
2020-12-02,337,2020,0.5047917,0.4759659
2020-12-06,341,2020,0.5230796,0.5000603
2020-12-09,344,2020,0.5430983,0.51026
2020-12-18,353,2020,0.4825778,0.4384806
2020-12-21,356,2020,0.5556657,0.472741
2020-12-21,356,2020,0.490401,0.4360395
2020-12-29,364,2020,0.4664154,0.4140471
2021-01-09,9,2021,0.5034702,0.4176532
2021-01-14,14,2021,0.4968868,0.3768311
2021-01-14,14,2021,0.5487432,0.4232553
2021-01-17,17,2021,0.4926244,0.3882143
2021-01-20,20,2021,0.5198438,0.3907387
2021-01-21,21,2021,0.530922,0.3895678
2021-01-26,26,2021,0.5315072,0.3876644
2021-02-02,33,2021,0.5696363,0.3840973
2021-02-05,36,2021,0.5606166,0.3782969
2021-02-06,37,2021,0.5674343,0.3825664
2021-02-07,38,2021,0.6138748,0.3869133
2021-02-16,47,2021,0.5853192,0.3549242
2021-02-16,47,2021,0.545722,0.3287243
2021-02-17,48,2021,0.5020064,0.3373262
2021-02-17,48,2021,0.5783272,0.35693
2021-02-17,48,2021,0.5817119,0.3797453
2021-02-20,51,2021,0.6070551,0.3877793
2021-02-20,51,2021,0.5768997,0.3609996
2021-02-27,58,2021,0.5764467,0.3794574
2021-03-06,65,2021,0.5575585,0.4226669
2021-03-09,68,2021,0.5925496,0.4404538
2021-03-09,68,2021,0.5661232,0.4161424
2021-03-09,68,2021,0.6085218,0.4774273
2021-03-15,74,2021,0.5920319,0.4577362
2021-03-19,78,2021,0.5804275,0.4778361
2021-03-22,81,2021,0.5765845,0.433418
2021-03-22,81,2021,0.6125078,0.5180758
2021-03-23,82,2021,0.6052809,0.5211187
2021-03-26,85,2021,0.613654,0.543304
2021-03-27,86,2021,0.5927888,0.5237127
2021-04-01,91,2021,0.5889688,0.5750569
2021-04-01,91,2021,0.5393801,0.5204605
2021-04-01,91,2021,0.5281703,0.4931754
2021-04-03,93,2021,0.58411,0.5634537
2021-04-06,96,2021,0.5471388,0.489402
2021-04-06,96,2021,0.5324419,0.4852159
2021-04-08,98,2021,0.6122603,0.5911087
2021-04-08,98,2021,0.5629068,0.5499073
2021-04-08,98,2021,0.5671142,0.5631048
2021-04-08,98,2021,0.5921349,0.5696107
2021-04-10,100,2021,0.5497443,0.5711979
2021-04-10,100,2021,0.6021247,0.5728204
2021-04-10,100,2021,0.5741709,0.5839646
2021-04-10,100,2021,0.591745,0.5940261
2021-04-16,106,2021,0.6352262,0.5855271
2021-04-18,108,2021,0.54334,0.5605774
2021-04-20,110,2021,0.5689534,0.5784662
2021-04-26,116,2021,0.5616977,0.5782269
2021-04-27,117,2021,0.5622509,0.5703173
2021-04-28,118,2021,0.5801852,0.5892709
2021-04-28,118,2021,0.5878751,0.5952061
2021-04-29,119,2021,0.6134562,0.6425007
2021-04-29,119,2021,0.5907822,0.6075688
2021-05-02,122,2021,0.603251,0.6328327
2021-05-02,122,2021,0.6042184,0.5595988
2021-05-03,123,2021,0.5642897,0.5758653
2021-05-03,123,2021,0.588818,0.5955256
2021-05-03,123,2021,0.6231881,0.6194406
2021-05-19,139,2021,0.5793643,0.5941358
2021-05-19,139,2021,0.581055,0.5596803
2021-05-20,140,2021,0.5891844,0.6089284
2021-05-20,140,2021,0.6011112,0.60722
2021-05-23,143,2021,0.5473503,0.5585633
2021-05-23,143,2021,0.6093076,0.6073983
2021-05-24,144,2021,0.5708564,0.5569805
2021-05-24,144,2021,0.5581018,0.5921229
2021-05-24,144,2021,0.5536889,0.5778051
2021-05-25,145,2021,0.5605688,0.6046456
2021-05-26,146,2021,0.5414191,0.5911909
2021-06-10,161,2021,0.5431187,0.5915814
2021-06-10,161,2021,0.5554686,0.5613644
2021-06-14,165,2021,0.5596919,0.5319197
2021-06-16,167,2021,0.5487901,0.5624593
2021-06-22,173,2021,0.4998214,0.5418646
2021-06-23,174,2021,0.6058254,0.649263
2021-06-26,177,2021,0.5571301,0.5986612
2021-06-26,177,2021,0.5272933,0.5683146
2021-06-27,178,2021,0.5541886,0.6075904
2021-06-28,179,2021,0.5238829,0.5739226
2021-07-01,182,2021,0.5680473,0.6383467
2021-07-09,190,2021,0.5423835,0.5993468
2021-07-09,190,2021,0.5386285,0.5797463
2021-07-11,192,2021,0.6588566,0.6723735
2021-07-11,192,2021,0.6085751,0.6435272
2021-07-19,200,2021,0.5372874,0.5977429
2021-07-21,202,2021,0.5422509,0.6036099
2021-07-21,202,2021,0.527872,0.5868565
2021-07-21,202,2021,0.5431679,0.5895999
2021-07-27,208,2021,0.5798507,0.6055358
2021-08-03,215,2021,0.5287761,0.5903523
2021-08-03,215,2021,0.541314,0.579478
2021-08-05,217,2021,0.5664344,0.5905658
2021-08-06,218,2021,0.5441735,0.5886568
2021-08-12,224,2021,0.5342939,0.5736787
2021-08-13,225,2021,0.5731122,0.5965366
2021-08-13,225,2021,0.5522145,0.5929369
2021-08-16,228,2021,0.6206431,0.6467357
2021-08-25,237,2021,0.5147232,0.5500352
2021-08-26,238,2021,0.5180233,0.5308402
2021-08-26,238,2021,0.5588877,0.596631
2021-08-26,238,2021,0.5478904,0.5904488
2021-09-07,250,2021,0.5362736,0.5532976
2021-09-09,252,2021,0.5340781,0.5800488
2021-09-11,254,2021,0.5391952,0.5634661
2021-09-11,254,2021,0.5440925,0.5377009
2021-09-15,258,2021,0.5467292,0.5833089
2021-09-19,262,2021,0.5114832,0.5135712
2021-09-29,272,2021,0.5549151,0.5686507
2021-10-05,278,2021,0.5045934,0.5197648
2021-10-12,285,2021,0.4707331,0.500477
2021-10-14,287,2021,0.5435301,0.5517068
2021-10-27,300,2021,0.509523,0.4885908
2021-10-29,302,2021,0.5084456,0.516562
2021-10-29,302,2021,0.5271673,0.5241122
2021-11-04,308,2021,0.4735333,0.4654281
2021-11-11,315,2021,0.517468,0.5203252
2021-11-21,325,2021,0.5354527,0.4972598
2021-11-24,328,2021,0.5394893,0.5077119
2021-11-28,332,2021,0.4867159,0.4549087
2021-12-17,351,2021,0.4829877,0.4650487
2021-12-19,353,2021,0.5661679,0.5076205
2022-01-02,2,2022,0.5550302,0.3860484
2022-01-03,3,2022,0.538441,0.396587
2022-01-05,5,2022,0.5486726,0.3787804
2022-01-20,20,2022,0.5371507,0.3518621
2022-01-23,23,2022,0.5672167,0.3723611
2022-01-23,23,2022,0.5280449,0.3660687
2022-01-24,24,2022,0.5565721,0.3723339
2022-01-26,26,2022,0.5812014,0.3706731
2022-01-26,26,2022,0.5565239,0.3643968
2022-01-27,27,2022,0.5569727,0.3431144
2022-02-10,41,2022,0.5621102,0.4016877
2022-02-11,42,2022,0.5801819,0.4510254
2022-02-12,43,2022,0.5869236,0.4389614
2022-02-13,44,2022,0.5856273,0.4716317
2022-02-13,44,2022,0.5842621,0.4570432
2022-02-17,48,2022,0.5808941,0.4647653
2022-02-17,48,2022,0.5756246,0.4584214
2022-02-18,49,2022,0.5277589,0.4314305
2022-02-20,51,2022,0.5547933,0.47594
2022-02-21,52,2022,0.5712966,0.4840524
2022-02-21,52,2022,0.5736686,0.4845171
2022-02-23,54,2022,0.5981459,0.5036426
2022-02-25,56,2022,0.6031962,0.5037073
2022-02-25,56,2022,0.5896604,0.5163752
2022-02-28,59,2022,0.595035,0.5085867
2022-02-28,59,2022,0.5438787,0.4839708
2022-02-28,59,2022,0.5386666,0.4741421
2022-03-02,61,2022,0.613695,0.560787
2022-03-09,68,2022,0.5832186,0.5411108
2022-03-10,69,2022,0.5279896,0.5224137
2022-03-10,69,2022,0.5944903,0.5659912
2022-03-11,70,2022,0.5479247,0.5257763
2022-03-12,71,2022,0.5876476,0.5900487
2022-03-14,73,2022,0.564106,0.5940749
2022-03-16,75,2022,0.5615438,0.5752302
2022-03-21,80,2022,0.5999824,0.5780992
2022-03-21,80,2022,0.6111412,0.5956344
2022-04-11,101,2022,0.6531224,0.6468232
2022-04-11,101,2022,0.6237437,0.6339159
2022-04-13,103,2022,0.5891985,0.6213748
2022-04-14,104,2022,0.600088,0.62027
2022-04-14,104,2022,0.5779774,0.6064487
2022-04-18,108,2022,0.5736758,0.6214254
2022-04-23,113,2022,0.5835958,0.623508
2022-05-07,127,2022,0.6101598,0.6609446
2022-05-07,127,2022,0.5839468,0.6125081
2022-05-10,130,2022,0.5315216,0.6359501
2022-05-17,137,2022,0.5998652,0.6159442
2022-05-17,137,2022,0.6072031,0.6349892
2022-05-22,142,2022,0.5676898,0.6346197
2022-05-29,149,2022,0.5938846,0.6347908
2022-05-31,151,2022,0.5982929,0.631621
2022-06-05,156,2022,0.6176306,0.6426958
2022-06-07,158,2022,0.6008852,0.6547304
2022-06-30,181,2022,0.6128939,0.6474972
2022-07-01,182,2022,0.5715954,0.6199174
2022-07-07,188,2022,0.5930163,0.6468498
2022-07-20,201,2022,0.5526863,0.6017344
2022-07-21,202,2022,0.5908536,0.5959322
2022-07-24,205,2022,0.5255066,0.5986678
2022-07-29,210,2022,0.5307819,0.5382546
2022-07-30,211,2022,0.5781466,0.5790297
2022-07-30,211,2022,0.5647534,0.6078877
2022-08-08,220,2022,0.5906203,0.590613
2022-08-08,220,2022,0.5775157,0.5846828
2022-08-10,222,2022,0.6126101,0.5989146
2022-08-13,225,2022,0.6105375,0.6115856
2022-08-17,229,2022,0.6095498,0.6103777
2022-08-25,237,2022,0.5475443,0.5472196
2022-08-30,242,2022,0.560047,0.5771611
2022-09-02,245,2022,0.5028188,0.5264054
2022-09-06,249,2022,0.5855058,0.5557033
2022-09-06,249,2022,0.5151773,0.4748145
2022-09-23,266,2022,0.5956538,0.5106206
2022-09-29,272,2022,0.5114635,0.5158895
2022-09-29,272,2022,0.4800459,0.4798518
2022-10-05,278,2022,0.5896638,0.5333444
2022-10-09,282,2022,0.5396283,0.4960623
2022-10-26,299,2022,0.5029635,0.5085261
2022-10-26,299,2022,0.4798076,0.4676165
2022-10-27,300,2022,0.5320535,0.5077324
2022-10-27,300,2022,0.5040366,0.4799196
2022-10-30,303,2022,0.5440606,0.5456665
2022-11-02,306,2022,0.5101282,0.5061668
2022-11-09,313,2022,0.4303129,0.4146567
2022-11-15,319,2022,0.486033,0.4675634
2022-11-15,319,2022,0.4810491,0.4659682
2022-11-15,319,2022,0.4526802,0.4630233
2022-11-15,319,2022,0.4269029,0.4414801
2022-11-19,323,2022,0.5168526,0.4685551
2022-11-19,323,2022,0.5045658,0.4395303
2022-11-22,326,2022,0.5262968,0.4621345
2022-11-24,328,2022,0.4798664,0.4386528
2022-11-27,331,2022,0.522614,0.4523187
2022-12-09,343,2022,0.4825336,0.4346538
2022-12-09,343,2022,0.4539337,0.3906201
2022-12-09,343,2022,0.4431258,0.372394
2022-12-13,347,2022,0.4832923,0.4268763
2022-12-14,348,2022,0.5062813,0.400916
